year,counts
"1951	",2
"1952	",3
"1953	",2
"1954	",5
"1955	",4
"1956	",3
"1957	",1
"1958	",4
"1959	",4
"1960	",4
"1961	",3
"1962	",5
"1963	",2
"1964	",2
"1965	",5
"1966	",5
"1967	",3
"1968	",3
"1969	",2
"1970	",3
"1971	",4
"1972	",3
"1973	",1
"1974	",3
"1975	",2
"1976	",2
"1977	",1
"1978	",4
"1979	",3
"1980	",1
"1981	",3
"1982	",4
"1983	",2
"1984	",0
"1985	",3
"1986	",0
"1987	",1
"1988	",2
"1989	",5
"1990	",6
"1991	",3
"1992	",3
"1993	",6
"1994	",3
"1995	",1
"1996	",2
"1997	",4
"1998	",4
"1999	",2
"2000	",0
"2001	",2
"2002	",3
"2003	",2
"2004	",10
"2005	",3
"2006	",2
"2007	",3
"2008	",0
